timestamp,fuente,categoria,nombre,marca,precio_min,precio_max,precio,presentacion,ean,sucursales_disponibles,lat,lng
2025-11-21 21:09:10.916901,PreciosClaros,leche entera,Leche Entera 3% Uat La Serenisima 1 Lt,LA SERENÍSIMA,2480.0,2850.0,2480.0,1.0 lt,7790742335500,28,-34.6037,-58.3816
2025-11-21 21:09:10.916921,PreciosClaros,leche entera,Leche Entera Clasica 3 % Fortificada Tetra La Serenisima 200 Ml,LA SERENÍSIMA,1090.0,1350.0,1090.0,200.0 ml,7790742357205,5,-34.6037,-58.3816
2025-11-21 21:09:10.916930,PreciosClaros,leche entera,Leche Entera en Sachet Coto 1 Lt,COTO,1249.0,1249.0,1249.0,1.0 lt,7798039600058,2,-34.6037,-58.3816
2025-11-21 21:09:10.916937,PreciosClaros,leche entera,Leche Entera Ilolay 1 Lt,ILOLAY,2049.0,2049.0,2049.0,1.0 lt,7790787002528,2,-34.6037,-58.3816
2025-11-21 21:09:10.916944,PreciosClaros,leche entera,Leche Entera Larga Vida Milkaut 1 Lt,MILKAUT,2100.0,2100.0,2100.0,1.0 lt,7794820903100,23,-34.6037,-58.3816
2025-11-21 21:09:10.916957,PreciosClaros,leche entera,Leche Entera Larga Vida Tradicion Tres Niñas 1 Lt,TRES NIÑAS,2250.0,2290.0,2250.0,1.0 lt,7798338290028,27,-34.6037,-58.3816
2025-11-21 21:09:10.916970,PreciosClaros,leche entera,Leche Entera Larga Vida Vitamina A y D Ciudad Del Lago 1 Lt,CIUDAD DEL LAGO,1649.0,1649.0,1649.0,1.0 lt,12-1-2800000798505,2,-34.6037,-58.3816
2025-11-21 21:09:10.916977,PreciosClaros,leche entera,Leche Entera Uat Larga Vida Dia 1 Lt,DÍA,1690.0,1690.0,1690.0,1.0 lt,8480017006080,23,-34.6037,-58.3816
2025-11-21 21:09:10.916983,PreciosClaros,leche entera,Leche Entera UAT Larga Vida en Carton Coto 1 Lt,COTO,1749.0,1749.0,1749.0,1.0 lt,7798039600034,2,-34.6037,-58.3816
2025-11-21 21:09:10.916989,PreciosClaros,leche entera,Leche Entera UAT Larga Vida en Tetra Brick Manfrey 1 Lt,MANFREY,2050.0,2050.0,2050.0,1.0 lt,7791058000731,2,-34.6037,-58.3816
2025-11-21 21:09:10.916995,PreciosClaros,leche entera,Casanto Leche Entera 3 Sachet Casanto 1 Lt,CASANTO,1525.0,1650.0,1525.0,1.0 lt,7790742192301,27,-34.6037,-58.3816
2025-11-21 21:09:10.917001,PreciosClaros,leche entera,Leche en Polvo Entera Bolsa La Serenisima 200 Gr,LA SERENÍSIMA,3236.0,3236.0,3236.0,200.0 gr,7790742436108,2,-34.6037,-58.3816
2025-11-21 21:09:10.917008,PreciosClaros,leche entera,Leche en Polvo Entera con Vitaminas Purisima 200 Gr,PURÍSIMA,2670.0,2670.0,2670.0,200.0 gr,7798095171721,23,-34.6037,-58.3816
2025-11-21 21:09:10.917013,PreciosClaros,leche entera,Leche en Polvo Entera Dia 400 Gr,DÍA,4780.0,4780.0,4780.0,400.0 gr,8480017034595,23,-34.6037,-58.3816
2025-11-21 21:09:10.917020,PreciosClaros,leche entera,Leche en Polvo Entera Dia 800 Gr,DÍA,8750.0,8750.0,8750.0,800.0 gr,8480017297013,23,-34.6037,-58.3816
2025-11-21 21:09:10.917025,PreciosClaros,leche entera,Leche en Polvo Entera Fortificada Santa Clara 400 Gr,SANTA CLARA,4649.0,4649.0,4649.0,400.0 gr,7798312320390,2,-34.6037,-58.3816
2025-11-21 21:09:10.917039,PreciosClaros,leche entera,Leche en Polvo Entera La Serenisima 400 Gr,LA SERENÍSIMA,6178.0,6178.0,6178.0,400.0 gr,7790742436306,2,-34.6037,-58.3816
2025-11-21 21:09:10.917045,PreciosClaros,leche entera,Leche en Polvo Entera Purisima Plus 800 Gr,PURÍSIMA,11450.0,11650.0,11450.0,800.0 gr,7798095171363,3,-34.6037,-58.3816
2025-11-21 21:09:10.917051,PreciosClaros,leche entera,Leche en Polvo Entera Vitamina A y D Purisima 400 Gr,PURÍSIMA,6900.0,6900.0,6900.0,400.0 gr,7798095171813,2,-34.6037,-58.3816
2025-11-21 21:09:10.917057,PreciosClaros,leche entera,Leche en Polvo Entera Zero Lactosa La Serenisima 400 Gr,LA SERENÍSIMA,7914.0,7914.0,7914.0,400.0 gr,7790742436504,4,-34.6037,-58.3816
2025-11-21 21:09:13.793727,PreciosClaros,leche descremada,Leche Descremada 0 Uat Tetra Las Tres Ninas 1 Lt,LAS TRES NIÑAS,2265.0,2290.0,2265.0,1.0 lt,7798338290301,4,-34.6037,-58.3816
2025-11-21 21:09:13.793740,PreciosClaros,leche descremada,Leche Descremada 2% Sachet Casanto 1 Lt,CASANTO,1525.0,1650.0,1525.0,1.0 lt,7790742192202,27,-34.6037,-58.3816
2025-11-21 21:09:13.793748,PreciosClaros,leche descremada,Leche Descremada Barista Larga Vida Botella La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2900.0,2539.0,1.0 lt,7790742358400,5,-34.6037,-58.3816
2025-11-21 21:09:13.793754,PreciosClaros,leche descremada,Leche Descremada en Sachet Coto 1 Lt,COTO,1249.0,1249.0,1249.0,1.0 lt,7798039600065,2,-34.6037,-58.3816
2025-11-21 21:09:13.793760,PreciosClaros,leche descremada,Leche Descremada Fortificada sin TACC Tetra Lechelita 1 Lt,LECHELITA,2350.0,2350.0,2350.0,1.0 lt,7798321151374,1,-34.6037,-58.3816
