timestamp,categoria,nombre,marca,precio,precio_min,precio_max,presentacion,sucursales
2025-11-21 21:40:12.235231,leche entera,Leche Entera 3% Uat La Serenisima 1 Lt,LA SERENÍSIMA,2480.0,2480.0,2850.0,1.0 lt,28
2025-11-21 21:40:12.235252,leche entera,Leche Entera Clasica 3 % Fortificada Tetra La Serenisima 200 Ml,LA SERENÍSIMA,1090.0,1090.0,1350.0,200.0 ml,5
2025-11-21 21:40:12.235262,leche entera,Leche Entera en Sachet Coto 1 Lt,COTO,1249.0,1249.0,1249.0,1.0 lt,2
2025-11-21 21:40:12.235269,leche entera,Leche Entera Ilolay 1 Lt,ILOLAY,2049.0,2049.0,2049.0,1.0 lt,2
2025-11-21 21:40:12.235276,leche entera,Leche Entera Larga Vida Milkaut 1 Lt,MILKAUT,2100.0,2100.0,2100.0,1.0 lt,23
2025-11-21 21:40:12.235283,leche entera,Leche Entera Larga Vida Tradicion Tres Niñas 1 Lt,TRES NIÑAS,2250.0,2250.0,2290.0,1.0 lt,27
2025-11-21 21:40:12.235296,leche entera,Leche Entera Larga Vida Vitamina A y D Ciudad Del Lago 1 Lt,CIUDAD DEL LAGO,1649.0,1649.0,1649.0,1.0 lt,2
2025-11-21 21:40:12.235303,leche entera,Leche Entera Uat Larga Vida Dia 1 Lt,DÍA,1690.0,1690.0,1690.0,1.0 lt,23
2025-11-21 21:40:12.235309,leche entera,Leche Entera UAT Larga Vida en Carton Coto 1 Lt,COTO,1749.0,1749.0,1749.0,1.0 lt,2
2025-11-21 21:40:12.235315,leche entera,Leche Entera UAT Larga Vida en Tetra Brick Manfrey 1 Lt,MANFREY,2050.0,2050.0,2050.0,1.0 lt,2
2025-11-21 21:40:12.235350,leche entera,Casanto Leche Entera 3 Sachet Casanto 1 Lt,CASANTO,1525.0,1525.0,1650.0,1.0 lt,27
2025-11-21 21:40:12.235356,leche entera,Leche en Polvo Entera Bolsa La Serenisima 200 Gr,LA SERENÍSIMA,3236.0,3236.0,3236.0,200.0 gr,2
2025-11-21 21:40:12.235362,leche entera,Leche en Polvo Entera con Vitaminas Purisima 200 Gr,PURÍSIMA,2670.0,2670.0,2670.0,200.0 gr,23
2025-11-21 21:40:12.235368,leche entera,Leche en Polvo Entera Dia 400 Gr,DÍA,4780.0,4780.0,4780.0,400.0 gr,23
2025-11-21 21:40:12.235374,leche entera,Leche en Polvo Entera Dia 800 Gr,DÍA,8750.0,8750.0,8750.0,800.0 gr,23
2025-11-21 21:40:12.235381,leche entera,Leche en Polvo Entera Fortificada Santa Clara 400 Gr,SANTA CLARA,4649.0,4649.0,4649.0,400.0 gr,2
2025-11-21 21:40:12.235394,leche entera,Leche en Polvo Entera La Serenisima 400 Gr,LA SERENÍSIMA,6178.0,6178.0,6178.0,400.0 gr,2
2025-11-21 21:40:12.235400,leche entera,Leche en Polvo Entera Purisima Plus 800 Gr,PURÍSIMA,11450.0,11450.0,11650.0,800.0 gr,3
2025-11-21 21:40:12.235407,leche entera,Leche en Polvo Entera Vitamina A y D Purisima 400 Gr,PURÍSIMA,6900.0,6900.0,6900.0,400.0 gr,2
2025-11-21 21:40:12.235412,leche entera,Leche en Polvo Entera Zero Lactosa La Serenisima 400 Gr,LA SERENÍSIMA,7914.0,7914.0,7914.0,400.0 gr,4
2025-11-21 21:40:14.942542,leche descremada,Leche Descremada 0 Uat Tetra Las Tres Ninas 1 Lt,LAS TRES NIÑAS,2265.0,2265.0,2290.0,1.0 lt,4
2025-11-21 21:40:14.942559,leche descremada,Leche Descremada 2% Sachet Casanto 1 Lt,CASANTO,1525.0,1525.0,1650.0,1.0 lt,27
2025-11-21 21:40:14.942567,leche descremada,Leche Descremada Barista Larga Vida Botella La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2539.0,2900.0,1.0 lt,5
2025-11-21 21:40:14.942574,leche descremada,Leche Descremada en Sachet Coto 1 Lt,COTO,1249.0,1249.0,1249.0,1.0 lt,2
2025-11-21 21:40:14.942582,leche descremada,Leche Descremada Fortificada sin TACC Tetra Lechelita 1 Lt,LECHELITA,2350.0,2350.0,2350.0,1.0 lt,1
